"ATBS","Bauvorhaben","VorhandeneDokumente"
"ATBS-368","VBW | Bauleiter | Werner Hellweg 560, Bochum | EG rechts","NUA-S NU-Auftrag Schluss, ER-NU-S  Eingangsrechnung NU - Schluss, ER-NU-A  Eingangsrechnung NU - Abschlag, AR-Zahl Zahlungseingang Ausgangsrechnung"
"ATBS-371","Niesenstrasse 2, 59423 Unna  | 3.OG rechts","NUA-S NU-Auftrag Schluss, Budget-NU-P NU-Budget Plan bei Start, NUA-A NU-Auftrag Anfang"
"ATBS-374","gws | Fromme | Seekante 13 , Dortmund | 1.OG links","NUA-S NU-Auftrag Schluss, ER-NU-S  Eingangsrechnung NU - Schluss, AR-Zahl Zahlungseingang Ausgangsrechnung, S Sonstiges"
"ATBS-375","VBW | Bauleiter | Luchsweg 44, Bochum | 2.OG rechts","NUA-S NU-Auftrag Schluss, ER-NU-S  Eingangsrechnung NU - Schluss, ER-Zahl Zahlungsausgang Eingangsrechnung"
"ATBS-376","VBW | Bauleiter | Rebhuhnweg 1, Bochum | 2.OG links","NUA-S NU-Auftrag Schluss, ER-NU-S  Eingangsrechnung NU - Schluss, ER-Zahl Zahlungsausgang Eingangsrechnung"
"ATBS-377","VBW | Bauleiter | Gorch-Fock-Str. 33, Bochum | EG","NUA-S NU-Auftrag Schluss, ER-NU-S  Eingangsrechnung NU - Schluss"
"ATBS-378","VBW | Bauleiter | Rebhuhnweg 11, Bochum | 1.OG link","NUA-S NU-Auftrag Schluss, ER-NU-S  Eingangsrechnung NU - Schluss, ER-Zahl Zahlungsausgang Eingangsrechnung, AR-Zahl Zahlungseingang Ausgangsrechnung"
"ATBS-385","covivio | Wolbeckstr.9, Essen | 2OG 1.v.l | PflÃ¼ger","NUA-S NU-Auftrag Schluss, ER-NU-S  Eingangsrechnung NU - Schluss, ER-Zahl Zahlungsausgang Eingangsrechnung, AR-Zahl Zahlungseingang Ausgangsrechnung"
"ATBS-386","covivio | Herbertshof 7, Essen | 2OG 2 v.l | PflÃ¼ger","NUA-S NU-Auftrag Schluss, ER-NU-S  Eingangsrechnung NU - Schluss"
"ATBS-399","VBW | Am Wiesental 20, Bochum | EG mitte | Bauleiter","NUA-S NU-Auftrag Schluss, ER-NU-S  Eingangsrechnung NU - Schluss, AR-Zahl Zahlungseingang Ausgangsrechnung"
"ATBS-401","covivio | HÃ¶herweg 53, DÃ¼sseldorf | 1.OG links | PflÃ¼ger","NUA-S NU-Auftrag Schluss, ER-NU-S  Eingangsrechnung NU - Schluss, AR-Zahl Zahlungseingang Ausgangsrechnung"
"ATBS-405","VBW | Lerchenweg 14, Bochum | EG links | Bauleiter","NUA-S NU-Auftrag Schluss, ER-Zahl Zahlungsausgang Eingangsrechnung, AR-Zahl Zahlungseingang Ausgangsrechnung"
"ATBS-408","VBW | Gorch-Fock-Str. 8, Bochum | EG rechts | Bauleiter","NUA-S NU-Auftrag Schluss, ER-NU-S  Eingangsrechnung NU - Schluss, AR-Zahl Zahlungseingang Ausgangsrechnung, ER-Zahl Zahlungsausgang Eingangsrechnung"
"ATBS-412","Quadrat | Goethestr. 3, Wetter | EG rechts | Elbracht","NUA-S NU-Auftrag Schluss, ER-NU-S  Eingangsrechnung NU - Schluss, AR-Zahl Zahlungseingang Ausgangsrechnung, ER-Zahl Zahlungsausgang Eingangsrechnung"
"ATBS-415","vonovia | Ernestinenstr. 304, Essen | 1.OG rechts | BrÃ¼ggerhof","NUA-S NU-Auftrag Schluss, ER-NU-S  Eingangsrechnung NU - Schluss"
"ATBS-417","VBW | Unterstr. 167, Bochum | 2.OG rechts | Bauleiter","NUA-S NU-Auftrag Schluss, ER-NU-S  Eingangsrechnung NU - Schluss"
"ATBS-418","VBW | Rosenbergstr. 11, Bochum | 1.OG Mitte | Bauleiter","NUA-S NU-Auftrag Schluss, ER-NU-S  Eingangsrechnung NU - Schluss, AR-Zahl Zahlungseingang Ausgangsrechnung, ER-Zahl Zahlungsausgang Eingangsrechnung"
"ATBS-422","VBW | Hirschgraben 9, Bochum | 1.OG rechts | Bauleiter","NUA-S NU-Auftrag Schluss, ER-NU-S  Eingangsrechnung NU - Schluss, AR-Zahl Zahlungseingang Ausgangsrechnung, ER-Zahl Zahlungsausgang Eingangsrechnung"
"ATBS-426","vonovia | Im Lau 1, Iserlohn | 1.OG, 1.v.l ME005 | BrÃ¼ggerhof","NUA-S NU-Auftrag Schluss, ER-NU-S  Eingangsrechnung NU - Schluss"
"ATBS-427","vonovia | Im Lau 1, Iserlohn |  3.OG, 2.v.l ME014 | BrÃ¼ggerhof","NUA-S NU-Auftrag Schluss, ER-NU-S  Eingangsrechnung NU - Schluss, ER-Zahl Zahlungsausgang Eingangsrechnung"
"ATBS-429","vonovia | Im Hudegrund 1, Iserlohn | 3.OG links | BrÃ¼ggerhof","NUA-S NU-Auftrag Schluss, ER-Zahl Zahlungsausgang Eingangsrechnung"
"ATBS-432","VBW | Schulenburgstr. 25, Bochum | EG rechts | Alexander Wasilowski","NUA-S NU-Auftrag Schluss, ER-NU-S  Eingangsrechnung NU - Schluss, ER-Zahl Zahlungsausgang Eingangsrechnung, AR-Zahl Zahlungseingang Ausgangsrechnung, NUA-A NU-Auftrag Anfang"
"ATBS-440","VBW | Havelstr. 6, Bochum | 2.OG links | Alexander Wasilowski","NUA-S NU-Auftrag Schluss, ER-NU-S  Eingangsrechnung NU - Schluss, AR-Zahl Zahlungseingang Ausgangsrechnung, ER-Zahl Zahlungsausgang Eingangsrechnung"
"ATBS-441","vonovia | Zur SonnenhÃ¶he 97, Iserlohn | 2.OG rechts | BrÃ¼ggerhof","NUA-S NU-Auftrag Schluss, ER-NU-S  Eingangsrechnung NU - Schluss, ER-Zahl Zahlungsausgang Eingangsrechnung"
"ATBS-442","VBW | In der Delle 6, Bochum | 1.OG links | Frank Nass","NUA-S NU-Auftrag Schluss, ER-NU-S  Eingangsrechnung NU - Schluss, ER-Zahl Zahlungsausgang Eingangsrechnung, NUA-A NU-Auftrag Anfang"
"ATBS-447","VBW | Heuweg 1, Bochum | EG rechts | Bauleiter","AB Auftragsbestaetigung, ER-Zahl Zahlungsausgang Eingangsrechnung, NUA-S NU-Auftrag Schluss, ER-NU-S  Eingangsrechnung NU - Schluss"
"ATBS-454","PeterPlangger | SimrockstraÃe 92, DÃ¼sseldorf | EG","ANG-Ku Angebot Kunde"
"ATBS-456","privat | Kleyer Weg 40, Dortmund | Test | Neumann","AB AuftragsbestÃ¤tigung, NUA-A NU-Auftrag AnfangS Sonstiges, NUA-S NU-Auftrag Schluss"
"ATBS-458","Robertstr 34, 59077 Hamm | 1. OG rechts","NUA-S NU-Auftrag Schluss, NUA-A NU-Auftrag Anfang"
"ATBS-459","SchreberstraÃe 55, 44627 Herne | 2. OG","ANG-Ku Angebot Kunde"
"ATBS-460","MartinSchulze | DavidisstraÃe 7, Dortmund | 2. OG","ANG-Ku Angebot Kunde"
"ATBS-462","gws - Holzwickeder StraÃe 52, Dortmund - EG rechts","ANG-Ku Angebot Kunde"
